iteration,accuracy,size_mb,inference_time_avg,inference_time_std,sparsity_pruned_parameters,sparsity_model
0,96.95969596959696,29.396738,0.0007019519805908203,0.0006024730105512936,0,0.0
1,97.00970097009701,19.705282,0.0006705760955810547,0.00041891083628111796,32.99998093183403,32.953795850861695
2,96.70967096709671,13.212098,0.0005997180938720703,0.0004896679666431419,55.10999607740585,55.03286695310492
3,95.5995599559956,8.861506,0.0010024547576904298,1.7559006347200364e-06,69.92371371600419,69.82585207218897
4,94.86948694869487,5.946562,0.0009017467498779296,0.0004908178100286024,79.84889840481172,79.73714598149985
5,91.71917191719172,3.99373,0.0008150577545166015,0.0004085438980398112,86.49878508542538,86.37772582174183
6,84.37843784378438,2.685122,0.00040030479431152344,0.000490271388754977,90.9541982653417,90.82690343385875
7,61.486148614861484,1.808514,0.0008014678955078125,0.00040073582014675004,93.93931964783822,93.80784699355445
8,29.382938293829383,1.221122,0.00039987564086914064,0.0004897456403489048,95.93936595624129,95.80509413971278
9,17.141714171417142,0.827586,0.0006005764007568359,0.000490369883831646,97.27938131973501,97.14323408642383
10,12.351235123512351,0.563842,0.00059967041015625,0.0004896291414227931,98.17721953451883,98.03981573288613
